1161_at,HSP90AB1,1936.1,1919.5,2240.0,1778.0,2135.4,2432.8,2211.8,2157.8,1195.7,1879.8,1328.5,1779.2,2802.8,2397.7,2116.5,1501.7,1630.6,2265.3,784.4,1389.3,1035.2
1235_at,YWHAZ,2479.4,2372.4,2335.7,1505.9,2164.3,1696.6,2531.7,2383.0,1434.6,1979.4,2427.6,1951.5,2382.4,1816.3,2267.7,2069.3,1644.0,1937.4,1170.8,2167.1,1363.6
1315_at,OAZ1,6165.0,4780.8,5415.3,4507.7,5376.1,4781.9,4177.9,4828.4,7393.6,7974.1,7852.0,3569.3,5813.5,5707.3,4687.1,4311.7,4210.7,5817.7,7693.8,7250.9,5671.4
1323_at,UBB,4157.8,3150.8,3975.5,2990.9,2790.7,3384.3,2914.9,2767.3,4197.6,3277.1,2768.9,4964.5,4283.9,3538.7,2686.8,3235.6,2256.5,3199.1,5022.8,2289.8,6031.1
1420_s_at,EIF4A2,3293.8,2989.2,3101.2,2841.3,2812.9,3146.7,2897.7,3312.5,3088.4,4146.3,2693.9,2728.9,2872.7,3315.7,3251.4,2948.6,2670.7,3550.6,2297.0,2439.0,3169.8
1836_at,CCNI,2451.2,2124.7,1913.4,1443.2,1337.7,1737.7,2730.8,1822.7,2529.0,2563.1,2553.1,995.5,1913.8,2002.4,1675.5,1722.7,1298.4,2556.8,1682.7,1474.0,1509.4
31481_s_at,TMSB10,1832.3,1604.2,2119.5,1995.5,2032.4,1681.4,1656.7,1807.7,1937.2,884.2,1530.0,1653.9,2631.0,2101.5,1491.7,2163.0,920.3,1423.6,2000.8,1557.2,3108.1
31538_at,RPLP0,4810.5,3702.3,5036.4,3497.2,3515.8,4346.6,4295.4,4493.4,6102.8,4358.5,8662.3,3947.9,4478.8,4984.7,3573.2,3441.8,4234.2,5192.0,3264.9,4482.4,6438.8
31546_at,RPL18,4329.4,3318.2,3344.0,3076.5,2695.2,3149.7,2848.8,3218.2,3505.1,3410.5,4476.3,2900.5,3472.4,3645.0,2731.1,3286.4,2292.4,3765.3,2646.5,3014.9,3294.1
31573_at,RPS25,2984.9,2983.9,3638.7,2356.9,2140.6,3516.4,3127.9,3332.7,4487.1,4491.4,5808.5,3425.2,2198.1,3779.7,2623.5,3198.3,3194.8,4178.8,2927.0,2836.0,4331.2
31697_s_at,FTH1P5,2575.4,2103.2,1779.1,3266.6,1007.9,2095.4,2606.0,1699.2,2471.7,1678.7,2162.8,2530.8,2020.1,1173.9,906.5,1894.8,557.6,1159.2,5737.2,2073.4,1609.5
31907_at,RPL14,4103.3,2571.9,2772.6,2376.2,2030.0,2997.1,2719.7,2719.8,2547.6,4558.3,3528.3,2513.7,2954.8,2867.6,2470.5,2824.0,1958.0,3515.0,1729.9,1839.7,2059.8
32432_f_at,RPL15,6688.6,3784.0,3510.2,3383.4,3046.4,4373.9,3684.2,4019.8,4321.0,6491.3,5980.4,3582.5,4302.3,3678.7,2708.7,3545.6,2746.1,5180.2,2124.9,3879.9,3414.8
32487_s_at,RPLP2,5750.1,4734.8,6347.4,4427.6,4270.6,5512.9,4172.6,5068.2,5767.8,6482.6,8729.8,4603.3,5656.3,5744.6,4663.6,4880.0,4317.6,5522.6,5822.2,5642.3,7611.9
32967_at,FAIM3,5244.3,3603.6,4255.4,3483.7,3680.4,4061.4,3528.5,5372.7,2980.2,6002.3,4266.3,2156.9,3017.0,5301.2,3628.8,3274.7,2437.1,4935.9,1543.7,4569.0,2307.6
33274_f_at,CYAT1,13901.9,633.0,9728.8,442.5,4268.7,8484.8,1871.8,9704.9,17073.6,2347.6,5174.0,6008.4,475.3,9905.0,6707.7,434.8,3426.2,202.9,6161.2,2410.3,515.1
33485_at,RPL4,5190.2,2727.0,2745.5,3037.8,1899.5,2959.8,2628.5,2658.6,2755.6,2050.3,2630.1,2259.1,2660.0,3092.8,2882.1,3352.6,1430.0,3155.7,1595.8,2362.2,3322.0
33499_s_at,IGHA2,2476.2,2616.5,3232.2,2364.2,3862.2,1285.3,2340.6,3179.8,824.2,4667.2,2538.3,843.4,3049.3,1913.9,2403.1,895.8,1718.7,1634.7,2893.8,2746.0,3790.9
33614_at,RPL18AP3,8819.4,5329.8,6139.5,4923.8,4850.2,4249.0,3509.0,5905.4,5284.5,3992.1,5774.1,5412.6,6464.8,6883.9,4407.7,4584.6,3031.3,5174.7,4094.7,5213.0,5272.0
33984_at,HSP90AB1,2605.9,2266.8,2092.3,1841.9,1879.9,1937.5,2208.0,1982.4,1178.7,1774.0,1213.8,1905.9,2239.8,1920.9,1794.3,1656.6,1857.4,2292.3,1073.3,1476.7,2002.2
33994_g_at,MYL6,2974.0,2784.7,3504.5,2934.5,3169.1,2518.3,2737.9,3183.9,3708.9,3203.5,4069.4,3727.9,4057.2,3044.7,3109.3,2849.9,2201.8,2553.4,3507.0,3326.7,5462.9
34160_at,ACTG1,4311.2,3058.3,2966.6,3171.2,3154.7,3013.1,2617.6,4075.0,3085.1,4680.8,5353.0,3024.0,3546.8,3389.9,2763.2,2497.4,2556.2,2724.7,3579.1,2765.7,2101.3
34210_at,CD52,3729.3,2383.5,2659.4,2040.7,1578.7,2441.1,2252.8,2861.9,3535.0,3155.8,4744.3,1511.0,2462.7,2325.1,1973.8,2319.9,975.4,2144.3,2001.6,2596.3,3416.6
34570_at,RPS27A,4373.7,3007.0,4001.7,3327.1,3254.1,4628.3,3755.1,3559.2,5569.8,4194.8,6709.8,3906.0,5177.3,4003.7,3589.7,3611.7,3805.1,4927.9,4064.0,3970.8,5453.8
34609_g_at,GNB2L1,4189.8,3661.9,3829.2,3210.6,2953.8,3239.3,3088.6,3838.1,3699.6,3483.0,4910.3,3258.7,4224.4,3875.4,3283.7,3410.3,2163.9,3647.0,2317.6,3469.3,2399.3
35055_at,BTF3,2634.0,2774.6,2484.9,2653.4,2375.2,2265.5,2451.2,2486.7,2334.7,2479.0,3485.8,2595.0,3104.1,2916.4,2849.2,2575.1,2358.4,3006.8,2380.1,2080.2,2791.3
35363_at,DDX17,1172.2,1880.2,1403.9,1607.0,1549.6,2298.6,1919.6,2412.5,1711.8,2255.3,2426.4,431.4,1210.8,2169.8,2218.1,1451.8,1688.2,3043.4,1517.4,1747.7,1390.6
35905_s_at,GAPDH,4273.2,3260.2,3296.5,4006.0,3141.6,3213.4,3879.9,5262.2,6000.3,5558.9,8119.4,4473.8,5121.0,3788.6,3211.5,3414.0,2881.6,3477.3,6567.2,5072.8,4240.5
36333_at,RPL7,5504.2,3898.6,5162.3,4235.0,4188.9,5035.0,3731.5,4949.7,5261.8,5158.5,7361.7,6142.6,5005.7,5429.5,4367.1,3814.4,3882.5,5315.7,4860.1,3767.6,7204.1
36358_at,RPL9,7431.7,5262.4,4962.9,5283.3,5151.0,5966.7,4607.1,5594.9,6284.5,6000.5,8081.9,6058.0,5809.6,5971.4,3661.0,5299.8,4578.4,6334.6,4798.5,5603.9,6099.9
36675_r_at,PFN1,2048.7,1653.2,2333.0,1935.3,1135.0,984.5,1545.3,2324.6,1320.7,1389.6,2513.2,1195.9,2267.6,1709.7,1487.8,1463.1,743.3,1046.3,1807.9,2636.6,1202.9
36786_at,RPL10A,4502.6,3258.7,2381.5,2761.2,2153.7,2637.7,2009.7,2533.9,2136.6,2484.9,2830.5,2448.1,2428.7,3229.7,2643.1,2845.3,1499.9,2446.0,1258.9,2299.1,1799.5
37294_at,BTG1,1492.9,1618.0,1935.3,1550.3,1452.1,1613.1,1541.4,1261.9,2625.6,1734.6,3053.5,1505.2,1895.4,2209.0,1749.4,1828.3,1487.4,1796.2,1544.9,1737.1,2078.4
37307_at,GNAI2,2148.5,2105.5,2508.4,1973.3,1830.9,1178.8,1502.8,1858.7,1881.6,2846.8,2388.4,1563.3,3002.8,1869.3,2035.3,1750.8,856.8,1171.3,2096.6,1751.9,1342.7
37344_at,HLA-DMA,2671.4,2575.7,2738.2,2104.6,2606.4,3020.2,2473.9,2906.1,2375.2,4010.1,3698.1,2948.1,1685.7,2743.3,2363.5,2195.4,2963.8,3299.5,1599.6,2525.0,2288.5
37421_f_at,HLA-F,1694.4,1512.7,2103.3,2512.1,1673.5,2743.9,1496.1,1647.2,1741.4,3457.3,3913.6,2404.4,2390.7,2195.4,1733.9,2407.9,889.6,1711.6,2098.8,2492.3,1773.8
37591_at,UCP2,2533.5,1611.5,2454.6,2151.9,3282.5,2153.2,2329.8,3481.7,2748.7,3796.7,3330.4,2552.0,4176.2,3462.7,1542.7,1600.8,2688.3,2557.2,2401.6,2895.2,2937.2
37864_s_at,IGHV4-31,6587.3,2696.4,3290.6,2076.6,2437.6,1587.3,1731.2,4323.6,4186.1,1412.1,2468.5,2015.5,3233.0,5694.5,3008.3,1850.0,874.9,1010.2,1619.8,3625.3,2922.5
38833_at,HLA-DPA1,7398.8,5656.6,5745.6,5446.5,5143.6,5847.6,3795.2,7367.4,7103.3,6866.3,7278.4,5220.2,3614.5,4951.1,3682.2,4435.5,5426.0,5154.3,3847.4,5588.3,3075.0
39025_at,C4orf46,2499.3,1849.6,1814.4,1803.4,1503.1,2495.1,1949.8,2102.3,2400.5,2379.7,2688.8,2365.0,2179.6,1983.5,1846.5,2325.2,1589.9,2477.8,1920.4,1308.3,2758.5
39318_at,TCL1A,2232.9,2056.3,4453.9,2481.5,1149.4,2171.9,2296.9,2424.1,6195.4,5708.2,1695.6,641.3,2592.3,3815.6,2851.7,2054.5,1071.7,2713.0,1527.9,4018.1,3105.4
39830_at,RPL27,4636.0,3232.6,3756.2,3080.4,3523.3,3822.8,3296.0,3637.6,5128.6,5478.0,5430.8,3119.3,4165.1,3685.1,3289.5,3622.6,3459.7,4090.9,3254.3,3453.2,5173.4
39916_r_at,RPS15,4191.4,2819.6,2824.4,2572.5,2010.2,3440.0,2929.9,2543.4,3638.2,3159.9,3758.8,2188.8,2753.9,2817.4,2720.8,3242.1,1981.6,3950.2,2362.4,2615.2,2748.8
40211_at,HNRNPA1,2205.1,1458.7,1935.8,1838.8,1572.8,2092.2,1778.2,1505.7,1846.8,1104.3,1786.4,1546.6,1859.5,1763.6,1777.0,1962.2,1519.1,1738.1,1308.0,1330.9,2847.9
404_at,IL4R,1857.2,3075.3,2167.3,1902.2,2087.6,1661.0,1818.7,2215.6,1968.7,2832.2,664.8,541.5,1927.0,3243.1,1574.1,1685.2,1273.7,2856.2,1313.0,2758.4,1191.1
40771_at,MSN,2039.4,2316.7,2417.1,2387.9,2421.5,2022.5,2051.4,2429.6,1481.8,1423.7,2114.3,1978.6,2408.2,2285.3,2062.6,2246.8,1458.0,1298.0,2362.4,1890.0,2153.2
40875_s_at,SNRNP70,1562.3,3237.9,1747.0,2393.1,2183.4,2605.8,2510.7,2980.9,1896.5,4216.0,1656.5,1860.4,1477.4,2449.1,3193.8,3535.9,1769.7,3362.4,1815.2,2978.1,1845.9
41152_f_at,RPL36A,2574.1,1857.1,2436.2,1169.6,1845.9,2680.9,2226.7,2822.7,4670.5,2787.9,4940.2,3070.0,2425.4,3485.9,1811.9,1973.6,2512.8,3122.9,2443.7,2585.2,3266.0
41166_at,IGHM,2293.6,4260.6,8257.5,5452.1,3676.0,7085.9,5500.9,2586.3,25.0,9933.0,12602.6,3373.7,8380.9,2192.0,6758.1,4857.3,1835.2,6815.3,4217.6,11677.1,64.5
41168_at,TAPBP,1655.3,1697.2,2140.1,1798.8,2025.5,1176.5,1409.3,1612.3,1477.4,1728.9,2052.5,1626.3,2301.0,1901.5,1545.9,1538.6,924.8,1342.9,1846.9,2133.2,2381.2
41206_r_at,COX6A1P2,1807.3,1846.1,2108.0,1314.4,1452.3,1329.3,1925.4,1719.3,2730.4,1511.6,2266.2,1237.9,1953.5,1765.7,1659.3,1730.1,1295.3,1371.2,887.8,1685.5,1691.1
41231_f_at,HMGN2,5411.2,4362.3,4391.1,4108.6,3691.6,3593.6,3527.4,3920.4,4029.3,3048.5,2757.6,3151.8,4802.5,4373.9,4472.6,3631.3,2750.2,3842.3,4027.7,3896.9,4408.8
41237_at,HLA-A,4241.4,2421.6,4647.3,4503.0,4100.9,5605.4,4273.9,4880.3,5787.8,9339.3,5868.0,5798.3,5615.0,5154.9,2933.4,3824.8,4583.2,4791.6,9006.6,5274.1,6182.9
41256_at,EEF1D,3526.8,2816.6,2429.1,2384.0,1888.9,1945.0,2143.9,2336.7,2171.6,1597.3,3171.5,2349.3,2998.7,3201.7,2280.8,2772.9,992.8,1785.6,1901.6,2120.6,4102.3
41338_at,AES,2593.7,2837.8,2678.8,3177.6,2423.8,2609.0,2966.9,2071.8,2288.2,3326.2,3193.2,1342.9,2138.0,2332.2,3458.5,3393.9,2196.4,3608.8,1812.2,2612.8,3496.0
41741_at,RBM3,2699.5,2578.9,3518.3,2619.8,2230.0,2124.9,2545.0,3398.6,2657.4,1469.5,2606.0,3138.3,2850.0,2591.0,2404.9,2646.0,1788.3,2099.9,2849.6,1752.4,4467.5
41827_f_at,GUSBP11,3623.8,418.7,2864.3,284.5,2066.5,5132.1,781.5,2613.3,6606.4,1186.7,1462.8,3463.0,243.8,6807.6,2362.3,306.0,1961.6,162.3,2120.0,1175.7,340.1
649_s_at,CXCR4,3754.6,4221.7,5475.0,3951.1,3688.5,1545.8,3733.9,2401.3,4521.3,3914.9,4759.5,5420.1,4879.3,4266.5,5037.3,4027.2,3870.3,3849.8,3210.6,3102.7,6005.7
AFFX-BioDn-3_at,--Control,2648.5,1802.7,3141.1,1933.7,2534.6,2646.9,1315.0,2712.0,5011.7,8382.9,10703.5,2746.8,2630.6,3237.1,3097.1,1748.7,3833.5,2374.3,3412.2,7463.0,4930.0
AFFX-HSAC07/X00351_5_at,ACTB,5895.0,4836.6,6169.9,4973.3,5551.7,2764.3,2244.9,5234.6,3175.9,5856.9,7525.1,7004.8,5878.1,5013.7,4872.3,3899.3,1120.6,2335.3,6130.5,7313.2,1375.9
AFFX-HUMGAPDH/M33197_3_at,GAPDH,2696.4,2170.8,1862.4,1952.8,2210.6,1884.4,2296.1,2808.0,3073.1,2368.6,4422.1,2525.3,2668.9,2097.1,1956.6,2166.6,1575.7,1888.5,3418.3,2972.9,2562.2
AFFX-HUMGAPDH/M33197_M_at,GAPDH,2241.9,1969.5,1428.2,1595.2,1762.6,1211.4,1443.1,2005.1,1593.1,1895.8,3588.1,2236.9,2387.7,1742.4,1901.0,1756.0,863.7,1063.5,2134.8,2665.6,1291.2
